ByteVal,enum{//,OPCode,ToStack_0,ToStack_1,ToStack_2,ToStack_3,ToStack_4,ToStack_5,NextByte_0,NextByte_1,NextByte_2,NextByte_3,NextByte_4,NextByte_5,NextByte_6,NextByte_7,NextByte_8,NextByte_9,NextByte_10,NextByte_11,NextByte_12,NextByte_13,FromStack_0,FromStack_1,FromStack_2,FromStack_3,FromStack_4
0,,nop,,,,,,,,,,,,,,,,,,,,,[No change],,,,
1,,aconst_null, null,,,,,,,,,,,,,,,,,,,,,,,,
2,,iconst_m1,Integer_$minus$1,,,,,,,,,,,,,,,,,,,,,,,,
3,,iconst_0,Integer_0,,,,,,,,,,,,,,,,,,,,,,,,
4,,iconst_1,Integer_1,,,,,,,,,,,,,,,,,,,,,,,,
5,,iconst_2,Integer_2,,,,,,,,,,,,,,,,,,,,,,,,
6,,iconst_3,Integer_3,,,,,,,,,,,,,,,,,,,,,,,,
7,,iconst_4,Integer_4,,,,,,,,,,,,,,,,,,,,,,,,
8,,iconst_5,Integer_5,,,,,,,,,,,,,,,,,,,,,,,,
9,,lconst_0, 0L,,,,,,,,,,,,,,,,,,,,,,,,
16,,bipush, value,,,,,,byte,,,,,,,,,,,,,,,,,,
17,,sipush, value,,,,,,byte1, byte2,,,,,,,,,,,,,,,,,
18,,ldc, value,,,,,,index,,,,,,,,,,,,,,,,,,
19,,ldc_w, value,,,,,,indexbyte1, indexbyte2,,,,,,,,,,,,,,,,,
20,,ldc2_w, value,,,,,,indexbyte1, indexbyte2,,,,,,,,,,,,,,,,,
21,,iload, value,,,,,,index,,,,,,,,,,,,,,,,,,
22,,lload, value,,,,,,index,,,,,,,,,,,,,,,,,,
23,,fload, value,,,,,,index,,,,,,,,,,,,,,,,,,
24,,dload, value,,,,,,index,,,,,,,,,,,,,,,,,,
25,,aload, objectref,,,,,,index,,,,,,,,,,,,,,,,,,
32,,lload_2, value,,,,,,,,,,,,,,,,,,,,,,,,
33,,lload_3, value,,,,,,,,,,,,,,,,,,,,,,,,
34,,fload_0, value,,,,,,,,,,,,,,,,,,,,,,,,
35,,fload_1, value,,,,,,,,,,,,,,,,,,,,,,,,
36,,fload_2, value,,,,,,,,,,,,,,,,,,,,,,,,
37,,fload_3, value,,,,,,,,,,,,,,,,,,,,,,,,
38,,dload_0, value,,,,,,,,,,,,,,,,,,,,,,,,
39,,dload_1, value,,,,,,,,,,,,,,,,,,,,,,,,
40,,dload_2, value,,,,,,,,,,,,,,,,,,,,,,,,
41,,dload_3, value,,,,,,,,,,,,,,,,,,,,,,,,
48,,faload, value,,,,,,,,,,,,,,,,,,,,arrayref, index ,,,
49,,daload, value,,,,,,,,,,,,,,,,,,,,arrayref, index ,,,
50,,aaload, value,,,,,,,,,,,,,,,,,,,,arrayref, index ,,,
51,,baload, value,,,,,,,,,,,,,,,,,,,,arrayref, index ,,,
52,,caload, value,,,,,,,,,,,,,,,,,,,,arrayref, index ,,,
53,,saload, value,,,,,,,,,,,,,,,,,,,,arrayref, index ,,,
54,,istore,,,,,,,index,,,,,,,,,,,,,,value ,,,,
55,,lstore,,,,,,,index,,,,,,,,,,,,,,value ,,,,
56,,fstore,,,,,,,index,,,,,,,,,,,,,,value ,,,,
57,,dstore,,,,,,,index,,,,,,,,,,,,,,value ,,,,
64,,lstore_1,,,,,,,,,,,,,,,,,,,,,value ,,,,
65,,lstore_2,,,,,,,,,,,,,,,,,,,,,value ,,,,
66,,lstore_3,,,,,,,,,,,,,,,,,,,,,value ,,,,
67,,fstore_0,,,,,,,,,,,,,,,,,,,,,value ,,,,
68,,fstore_1,,,,,,,,,,,,,,,,,,,,,value ,,,,
69,,fstore_2,,,,,,,,,,,,,,,,,,,,,value ,,,,
70,,fstore_3,,,,,,,,,,,,,,,,,,,,,value ,,,,
71,,dstore_0,,,,,,,,,,,,,,,,,,,,,value ,,,,
72,,dstore_1,,,,,,,,,,,,,,,,,,,,,value ,,,,
73,,dstore_2,,,,,,,,,,,,,,,,,,,,,value ,,,,
80,,lastore,,,,,,,,,,,,,,,,,,,,,arrayref, index, value ,,
81,,fastore,,,,,,,,,,,,,,,,,,,,,arreyref, index, value ,,
82,,dastore,,,,,,,,,,,,,,,,,,,,,arrayref, index, value ,,
83,,aastore,,,,,,,,,,,,,,,,,,,,,arrayref, index, value ,,
84,,bastore,,,,,,,,,,,,,,,,,,,,,arrayref, index, value ,,
85,,castore,,,,,,,,,,,,,,,,,,,,,arrayref, index, value ,,
86,,sastore,,,,,,,,,,,,,,,,,,,,,arrayref, index, value ,,
87,,pop,,,,,,,,,,,,,,,,,,,,,value ,,,,
88,,pop2,,,,,,,,,,,,,,,,,,,,,{value2, value1} ,,,
89,,dup, value, value,,,,,,,,,,,,,,,,,,,value ,,,,
96,,iadd, result,,,,,,,,,,,,,,,,,,,,value1, value2 ,,,
97,,ladd, result,,,,,,,,,,,,,,,,,,,,value1, value2 ,,,
98,,fadd, result,,,,,,,,,,,,,,,,,,,,value1, value2 ,,,
99,,dadd, result,,,,,,,,,,,,,,,,,,,,value1, value2 ,,,
100,,isub, result,,,,,,,,,,,,,,,,,,,,value1, value2 ,,,
101,,lsub, result,,,,,,,,,,,,,,,,,,,,value1, value2 ,,,
102,,fsub, result,,,,,,,,,,,,,,,,,,,,value1, value2 ,,,
